source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,pmra,pmra_error,pmdec,pmdec_error
3331415469320685952,96.9233861236539,0.10351653862174424,12.26001556416927,0.10326941544389352,-0.08729503190481495,0.127191638462162,17.445484,1.185482,,,NOT_AVAILABLE,,,0.06774582812132152,0.19573059274461632,-0.03963567774903766,0.1704151188820326
3331440345772146048,97.31957055540323,0.0823060147352767,12.570663380358074,0.07632267005014053,0.004066784801779702,0.09226903995746422,17.06233,1.4032955,,,NOT_AVAILABLE,4598.8633,,-0.1426238866741117,0.15470530216894043,0.03382963122653111,0.14323116434723154
3331450383113052416,97.20483776328973,0.12538554091980958,12.543450823934185,0.12376625440712179,0.12276938669579972,0.1798391453960765,17.42003,1.2245884,,,NOT_AVAILABLE,,,-0.18739928627141356,0.23132939823802523,-0.18773781962416153,0.22033836573121232
3331479623249992832,96.89632429651799,0.051434712150140734,12.61913932628086,0.07447847992730605,-0.01140220200751147,0.125737059550027,13.779824,1.8571615,,,NOT_AVAILABLE,4102.0,,-0.03475492915159329,0.10956584091511658,0.06017393571073315,0.07443267780328065
3331418772153916032,96.96102410938994,0.07280784643878155,12.372576932386337,0.0744231993318519,-0.006845508831215422,0.10132847291357679,15.90873,0.73576164,,,NOT_AVAILABLE,5878.5,,0.023548288037862682,0.1230778906376699,-0.019298402997680323,0.10050327841347124
376731304022769664,17.004421074353093,0.07608512813387884,44.57503577411769,0.05611218022376971,-0.04230053143335282,0.0860578350467815,17.112822,1.0554409,,,NOT_AVAILABLE,,,-0.13747411461755996,0.16765075504917684,0.11053511311464156,0.12300858450186539
272252071318928384,66.34873486881284,0.11178090121979588,53.04694549985071,0.09246193107444108,-0.04848923356973795,0.13957271561178755,18.02208,1.3417149,,,NOT_AVAILABLE,,,0.06207397732343889,0.2089646574544428,-0.016710734901722056,0.16144774276310475
272223033042001792,65.96497078039538,0.11521169864393033,52.53147015491411,0.08109639558104648,0.09056996554513465,0.14553560397636975,17.830357,1.7532349,,,NOT_AVAILABLE,,,0.020591169462628827,0.20893788606062882,-0.001783180995933123,0.14829687634560113
272203379271651712,65.79197008244103,0.1238552194405286,52.526966916096114,0.09501656703457828,0.04933583195732832,0.14001084004905148,17.988918,1.5319576,,,NOT_AVAILABLE,,,0.010794426858569149,0.2429125786877855,-0.015785563727666773,0.16555851761411294
3140270389355001344,108.31939257101673,0.10807648697241529,4.626122967784052,0.09793183218046088,0.05273386851939953,0.12253086470013089,17.540318,0.92505264,,,NOT_AVAILABLE,,,0.16349516469092817,0.20961487918038654,-0.06614720504204236,0.18389462762436773
3140284000108850304,109.02017041403055,0.11954508024766902,4.4477226743992295,0.11051416063407389,0.07234236615838521,0.13077447469420753,17.550623,0.9116211,,,NOT_AVAILABLE,,,-0.19167918052328925,0.2491974917212994,0.10390273939287947,0.2303636739863285
3140306604517278592,108.91196122644276,0.12225685930503498,4.60078329388304,0.11799486070457924,0.0608807593680579,0.13710659254722257,17.65808,0.95773315,,,NOT_AVAILABLE,,,-0.08826808664419425,0.24872791570329478,0.004337499351639144,0.24724156091429714
3140237958059381376,107.83342744349618,0.1124852938915284,4.371900930866521,0.11536747622602472,0.14014056358250196,0.15044491883366204,17.748972,0.8848095,,,NOT_AVAILABLE,,,-0.07517263931873658,0.2247917960720833,-0.01436351318260041,0.22423461281808119
272240693948290816,65.8487726369653,0.10669571142850352,52.74146723078798,0.07883099926837002,-0.029392398467697083,0.13914913874828855,17.36027,1.3646011,,,NOT_AVAILABLE,,,0.10649653212296015,0.17854228887564225,-0.04923642791993571,0.1380722612252429
3140239195009471232,107.98443162773168,0.09906086780450468,4.4162157860660685,0.10228706226412584,0.06843592384680758,0.1217757467763602,17.224407,0.90714073,,,NOT_AVAILABLE,,,0.11728511197017541,0.18411334893898243,-0.04011333564448419,0.16407035195295647
3140252767106345344,108.48342174920893,0.13866747685769737,4.474589028446149,0.11139975298273602,0.001953986399701108,0.1553920153494121,17.289492,0.8820324,,,NOT_AVAILABLE,,,0.21106736180607408,0.24419384318612902,-0.1552673468862934,0.19867631856998444
272176342454536064,67.60945129097439,0.0960427993876035,53.30033296476979,0.06946302652181585,0.012556614661534555,0.12045455086201662,17.358692,1.657156,,,NOT_AVAILABLE,,,0.006686381219668122,0.15800017046882167,-0.0648577907302461,0.12588599642568538
272191804338564736,65.21283986546796,0.11382757308174311,52.19592536097855,0.0871227839109135,-0.1120385807958921,0.14197623093024647,17.85195,1.4678516,,,NOT_AVAILABLE,,,-0.03582753963026376,0.21285090226200043,-0.056737054249795804,0.1582924772673371
272257186621881600,65.1036967182121,0.1329814990434644,52.50275325349953,0.09360308227119246,0.04758790097958925,0.15750817484745278,17.997108,1.7073097,,,NOT_AVAILABLE,,,-0.17276378526092243,0.2435216965610205,-0.04090220308097682,0.16893372668755255
272227950782942976,65.96247138851064,0.05288560982405205,52.660752464236886,0.03509274141019363,-0.040172259803301046,0.0686267278231655,15.557352,2.4272575,,,NOT_AVAILABLE,3354.0,,0.058231764655638577,0.08938351975352767,-0.028744795255219988,0.06499780499912168
272258152993249536,65.02852403610616,0.1181972793289387,52.530015376782636,0.08777365462244444,-0.011359118121446207,0.1263528796795237,17.477804,2.6459332,,,NOT_AVAILABLE,,,-0.06290992029401782,0.2097909616559909,0.06514821498380753,0.14411877436579146
272221388072915200,65.69395248554332,0.11102028741091509,52.77482896035357,0.08336905353643702,0.01768363519846275,0.15103026467755995,17.453413,2.2388878,,,NOT_AVAILABLE,,,0.17031788681592622,0.18266823556998904,0.11249256689686257,0.14662302218601408
272182385471558144,67.69410007292721,0.10657323064871456,53.3491390356556,0.07174146513126306,-0.05545431302893275,0.12211901611321746,17.541224,1.385416,,,NOT_AVAILABLE,,,0.047389626668033105,0.17786243123164103,0.11025208334585854,0.12579264489882216
3140312003295493248,109.31642521968391,0.13622151404996874,4.540634217331075,0.12205695551177692,0.09696060729920233,0.130927731583138,17.320162,0.93252945,,,NOT_AVAILABLE,,,-0.20578450732905484,0.23442184289048157,0.09471368561532033,0.1934955208899923
