col0,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,z,sourceType
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080422,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080137,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.08066,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080825,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080551,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080351,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080416,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080334,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080645,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080446,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080145,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080471,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080561,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.08076,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080146,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.08038,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080483,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080427,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080206,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080712,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080877,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080566,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080796,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080103,RM_TILE2
1.51187E+18,1.23766E+18,212.3013762,51.47822884,3177,301,3,56,STAR,19.02854,18.78183,18.66706,18.43924,18.43887,1.837893,QSO
1.51185E+18,1.23766E+18,212.6275449,51.18712614,3180,301,2,63,STAR,21.53512,18.8949,18.4065,18.26666,18.26176,3.194355,QSO
1.51185E+18,1.23766E+18,212.6275449,51.18712614,3180,301,2,63,STAR,21.53512,18.8949,18.4065,18.26666,18.26176,3.199105,QSO
1.512E+18,1.23766E+18,212.9515457,51.94871314,3180,301,4,63,STAR,19.58133,19.40158,19.33436,19.16573,19.23667,1.526888,SERENDIPITY_BLUE
1.51191E+18,1.23766E+18,211.9761615,51.41587259,3177,301,3,55,STAR,18.838,18.69383,18.5009,18.51859,18.45492,0.9590333,QSO
1.51181E+18,1.23766E+18,212.3956069,50.67506697,3180,301,1,64,STAR,20.2052,19.55431,19.43025,19.0871,19.15779,0.6003398,QSO
1.51181E+18,1.23766E+18,212.0986819,50.66500605,3177,301,1,57,STAR,18.66913,18.41891,18.34671,18.30255,18.15798,0.4126162,ROSAT_D
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9952344,QSO_EBOSS_W3_ADM
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9960776,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9952964,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9954473,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9957714,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9958704,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.995527,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9953987,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9951816,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9954026,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9955325,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9953679,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9953479,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9955218,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9953832,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.995653,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9958199,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9961385,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9955462,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9956937,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9955267,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9956002,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9957106,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9955629,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9955541,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9954591,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9956095,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9956161,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9953904,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.995512,RM_TILE1
1.51208E+18,1.23766E+18,212.5751656,52.57945838,3180,301,5,60,STAR,19.1544,19.0172,18.86946,21.63585,18.89361,0.9952266,RM_TILE1
4.45298E+18,1.23767E+18,243.7568497,8.892975838,5326,301,3,292,STAR,19.1205,18.9404,18.94395,18.75631,18.6975,1.866879,QSO
5.18091E+18,1.23768E+18,44.79664562,-6.555055275,7908,301,2,153,STAR,19.48674,19.0651,18.91579,18.66328,18.62399,0.5810758,QSO_VAR_SDSS
5.18091E+18,1.23768E+18,44.79664562,-6.555055275,7908,301,2,153,STAR,19.48674,19.0651,18.91579,18.66328,18.62399,0.5810334,QSO_VAR_SDSS
4.45307E+18,1.23767E+18,243.3110442,9.500866609,5326,301,4,288,STAR,19.88746,18.94026,18.88481,18.75848,18.66524,2.705865,QSO
4.45308E+18,1.23766E+18,243.916677,9.087650796,3996,301,6,263,STAR,19.54679,18.98063,18.53114,18.11486,17.9529,1.807377,QSO
4.45312E+18,1.23767E+18,244.5464148,9.514569561,5308,301,1,351,GALAXY,17.89222,17.75053,17.60239,17.46892,17.16038,0.2596864,QSO
4.453E+18,1.23767E+18,243.6740637,9.251630099,5322,301,3,228,STAR,17.81846,17.42095,17.47577,17.40516,17.5461,0.6282029,QSO
2.86738E+18,1.23766E+18,359.1909559,30.42283063,4135,301,2,267,STAR,19.63415,18.90761,18.76044,18.6622,18.40442,2.634626,QSO
6.60575E+17,1.23767E+18,133.7111334,19.51003051,5061,301,3,133,STAR,18.92209,18.4222,18.29761,18.22703,17.93064,2.214302,QSO
6.60575E+17,1.23767E+18,133.7111334,19.51003051,5061,301,3,133,STAR,18.92209,18.4222,18.29761,18.22703,17.93064,2.218559,QSO
6.60424E+17,1.23767E+18,133.3435059,18.7872158,5071,301,1,127,STAR,19.13111,18.98373,18.69399,18.18726,18.42761,0.1819713,QSO
6.60482E+17,1.23767E+18,134.3616157,18.923409,5061,301,1,135,STAR,18.05681,17.87941,17.74638,17.38386,17.32801,1.896394,QSO
2.48022E+18,1.23768E+18,26.75767104,-4.695086202,7865,301,3,93,STAR,20.02731,18.93798,18.51011,18.38309,18.32386,0.000149458,QSO_VAR_SDSS
2.50977E+18,1.23767E+18,24.67017525,-0.487476021,4874,301,2,586,STAR,19.03441,18.65154,18.55741,18.67715,18.53732,0.9759713,QSO
2.50967E+18,1.23766E+18,24.2626574,-0.704160403,4263,301,2,278,STAR,19.7311,19.17506,19.14413,19.15345,18.84097,2.499429,NONLEGACY
2.50967E+18,1.23766E+18,24.2626574,-0.704160403,4263,301,2,278,STAR,19.7311,19.17506,19.14413,19.15345,18.84097,2.502303,QSO
2.50967E+18,1.23766E+18,24.2626574,-0.704160403,4263,301,2,278,STAR,19.7311,19.17506,19.14413,19.15345,18.84097,2.501634,QSO
2.50932E+18,1.23766E+18,27.42713295,0.250449974,2700,301,4,49,STAR,16.69961,16.35254,16.43177,16.31258,16.40678,0.5524943,QSO
2.50932E+18,1.23766E+18,27.41719291,0.28833119,2700,301,4,49,STAR,18.76588,18.468,18.30869,18.20341,18.19038,1.464253,NONLEGACY
2.50932E+18,1.23766E+18,27.41719291,0.28833119,2700,301,4,49,STAR,18.76588,18.468,18.30869,18.20341,18.19038,1.464016,NONLEGACY
2.50932E+18,1.23766E+18,27.41719291,0.28833119,2700,301,4,49,STAR,18.76588,18.468,18.30869,18.20341,18.19038,1.464121,QSO
