source_id, ra, dec
3932782118496726016 187.163060 13.523036
3932787925292509696 186.847534 13.522892
3932771466977797120 187.121531 13.403293
3932792185900094464 186.803803 13.598732
3932772910086802944 186.966549 13.357198
3932772772647845888 186.937843 13.332075
3932789127883370496 186.987786 13.572231
3932777449867954688 187.191951 13.432244
3932792465073069056 186.768246 13.612871
3932788960380033024 187.008951 13.557925
3907985249367634944 186.943994 12.985586
3907849455386539520 186.330631 12.384480
3907919033856963072 187.241584 12.757796
3907798293735976960 186.128265 11.994605
3907973906358734848 187.197856 12.891758
3907972501905157632 187.196586 12.825331
3907853544195410432 186.235550 12.435713
3907897868257985536 187.305408 12.465087
3907798160592614400 186.182219 11.993526
3907754004033133568 186.669470 11.819725
3907861691748947968 187.124528 12.182605
3907780048717020160 186.616482 12.094006
3907962842522972160 186.682252 12.873326
3907705694241256448 187.491624 12.363868
3907706415795761664 187.548664 12.362710
3907831970575179264 186.507314 12.239279
3907990261594234880 187.015567 12.998090
3907898456669021696 187.332898 12.500317
3907830046429829632 186.400172 12.263162
3907990502112411648 187.109699 13.018404
3907855296542434816 186.253809 12.524520
3907967347944444416 187.116898 12.823694
3907993701863771136 187.107170 13.119597
3907771600514254336 186.492597 11.965689
3907764792991498240 186.903608 12.035641
3907943223112730624 186.808041 12.672565
3907818050585624576 186.029029 12.209262
3907826369937820672 186.377502 12.191547
3907856567852758528 186.352829 12.572610
3907750533699612160 186.332636 11.926668
3907952809479738368 186.504709 12.676880
3907927348913937408 187.359446 12.876789
3907777540456023040 186.557420 12.129417
3907850829776436736 186.341732 12.433783
3907964216912890880 187.061401 12.701286
3907981877818027520 186.865149 12.871361
3907954424387481088 186.488560 12.759719
3907824372777444864 186.315102 12.112729
3907961880451379200 186.745739 12.852935
3907953702832954368 186.478184 12.714636
3907827022772891648 186.415400 12.247541
3907714322830328832 187.604309 12.517026
3907882200217256448 186.884386 12.370175
3907921095440775680 187.397506 12.728850
3907941745643930112 186.735642 12.592269
3907925459128052224 187.293043 12.792170
3907681745503572480 187.358121 12.307457
3907755447142175744 186.805217 11.882990
3907771390060999680 186.460542 11.949527
3907946732100939776 186.527867 12.567335
3907750224461949952 186.345012 11.896375
3907808258060123136 185.946222 12.050241
3907679722574586368 187.380356 12.182661
3907985691748996608 186.764039 12.900558
3907752182967092224 186.345663 12.005974
3907758470799162880 186.615477 11.905033
3907974215598357504 187.181603 12.908917
3907977273613106176 187.185469 12.928804
3907855399621681152 186.231735 12.515272
3907899173928060416 187.297369 12.504443
3907919171295910400 187.199301 12.746581
3907781594903584256 186.837351 12.177362
3907835299174681088 186.594881 12.337340
3907842690813519360 186.256806 12.304828
3907938417044651520 186.803531 12.556723
3907931815679497728 186.705273 12.480449
3907782385177568256 186.720144 12.187140
3907984076841306624 186.949795 12.946943
3907675217153234432 187.401946 12.157355
3908716145426941952 186.491186 12.932545
3908684534468169728 185.806247 13.068730
3908748477940929536 186.957309 13.184615
3908719409602196480 186.508620 13.046644
3908758064307964416 186.618098 13.243946
3908763390067460096 186.508749 13.354047
3908708586285144576 186.221889 12.819932
3908714603534159872 186.566436 12.952245
3908768612747700736 186.571222 13.376017
3908716798261988352 186.398424 12.947593
3908759335618315264 186.599806 13.308710
3908713946407491072 186.653432 12.936166
3908774213384889856 185.916794 13.041900
3908770949209944576 186.676505 13.466780
3908620213037643776 185.662229 12.648296
3908774110305667584 185.905208 13.025109
3908669283039713792 185.718186 12.718119
3908579054366859264 185.795239 12.462775
3908741197971524608 186.730003 13.108671
3908599906431949312 186.123889 12.501615
3908618842943885824 185.739066 12.583504
3908624061330386944 186.026027 12.725963
3908604098320040448 186.043748 12.574140
3908619250964949504 185.763362 12.603369
3908626947546144768 186.071002 12.800501
3908624576724120576 185.902346 12.720791
3908607980970582016 186.224757 12.584829
3908704256958134272 186.286635 12.749443
3908772705851190272 185.967142 12.958338
3908722398899288064 186.200655 12.903710
3908762015677901824 186.481823 13.299473
3908734149929961472 186.195534 13.057434
3908713534086775296 186.561388 12.893098
3908736623832524800 186.263360 13.156972
3908608019626269184 186.227956 12.601807
3908622794313797120 185.815462 12.760960
3908718795422149632 186.466082 13.003392
3908716149722295808 186.488708 12.932328
3908711030121405952 186.332780 12.936607
3908610317432687616 186.074011 12.605950
3908827299180882944 186.175240 13.517187
3908824206804795392 186.565477 13.651561
3908780501217078784 185.964005 13.169579
3908830769514472960 186.108596 13.559386
3908838156858258944 186.421894 13.740618
3908792767644207104 185.847642 13.208445
3908780986548656128 185.979660 13.195118
3908834308567532544 186.319415 13.584393
3908800361145933824 185.950752 13.328747
3908821904701972992 186.429711 13.555775
3932018988707517440 187.187416 13.303459
3932019882060716544 187.144068 13.316465
3932021874925540352 187.334743 13.306343
3931945153925485568 187.595902 12.941061
3931998475943926272 187.466158 13.134921
3931950234871235072 187.571932 13.075940
3932008685081616384 187.413339 13.225938
3932027406843430912 187.381473 13.429132
3932015037337600000 187.310357 13.257755
3931941679296249856 187.571777 12.817656
3932024108308858880 187.417454 13.391982
3932000468808507392 187.294656 13.115391
3931999919052690944 187.251091 13.081223
3932003148868335104 187.567217 13.109484
3932009131757602304 187.429585 13.269786
3932012975753284096 187.244163 13.199622
3932020225658102784 187.199788 13.337905
3932014315783081984 187.303111 13.206663
