objid,ra,dec,devrad_r,fracdev_r,exprad_r,redshift,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,petrorad_r,petroR50_r,clean
758887368111031410,95.4257695,7.1313263,0.757856,0,0.7707,0,24.774391,20.782299,19.364794,18.632,17.991285,1.890766,0.858249,0
758885350015108642,94.73285326,7.09142207,2.055579E-3,0,3.350346E-3,0,19.5653,18.012852,17.653912,17.498646,17.415339,1.202329,0.616494,1
758885350015042777,94.59060634,7.01020643,0.04282,0,0.043737,0,17.325575,15.896074,15.660699,15.552369,15.439712,1.176642,0.604581,1
758887368110900025,95.14344149,7.0035154,0.086768,1,0.133071,0,19.173883,17.67905,17.300339,17.193188,17.11344,1.412056,0.71304,1
758887368647639927,94.66513752,7.22974769,0.047617,0,0.104787,0,19.121096,17.726112,17.328489,17.162579,17.087433,1.378331,0.70189,1
758887368110966259,95.25158922,7.22331828,0.065698,1,0.111579,0,19.870331,17.932802,16.911533,16.420771,16.069462,1.502824,0.754354,1
758887368110966260,95.25208204,7.22339584,0.039862,1,0.050562,0,21.804306,19.517567,18.905115,18.654991,18.948246,1.445431,0.746461,0
758885349478499364,95.39633856,7.03215918,2.988323E-5,1,2.285054E-3,0,20.045975,18.526064,17.74526,17.411095,17.199987,1.241787,0.630124,1
758887368647576038,94.54642201,7.18036948,0,1,9.831075E-5,0,19.368347,17.890938,17.627735,17.541759,17.490423,1.268125,0.645285,1
758885350015043285,94.58377081,7.11447585,0.083083,0,0.131494,0,18.921301,17.432133,17.241884,17.192596,17.120195,1.223721,0.630403,1
758885350015043281,94.58442537,7.11406259,0.024264,0,0.065542,0,25.007469,23.447914,21.663391,21.366291,20.812269,1.033699,0.530736,1
758885350551913251,94.39546372,7.30571794,0.034906,1,0.090696,0,19.505716,18.046331,17.61236,17.397087,17.26742,1.187973,0.61508,1
758885350015107650,94.69845912,6.98965753,0.022971,1,0.027414,0,19.577272,18.206106,17.777014,17.58234,17.517868,1.192366,0.610847,1
758887368111030693,95.30634327,7.20848671,1.674481E-5,0,3.570011E-4,0,18.362431,16.924034,16.700243,16.643091,16.553062,1.454842,0.732305,1
758885350015174016,94.86067764,7.13848648,0.024356,0,0.051922,0,19.527081,18.237198,17.609018,17.40766,17.268492,1.219176,0.617544,1
758885350015174632,94.84398508,7.23826021,0,0,8.962221E-7,0,19.572018,18.177536,17.621462,17.354794,17.268461,1.201776,0.616197,1
758887368111031742,95.37781749,7.27158832,0,1,6.480926E-5,0,19.059429,17.653591,17.079102,16.84321,16.716755,1.450186,0.729695,1
758885349478565779,95.55396225,7.16359092,0,0,0,0,19.292027,17.842924,17.351608,17.179565,17.073545,1.137721,0.587074,1
758881523737887307,49.72460473,43.2499585,0.04799,1,0.080359,0,18.896847,17.566977,17.02529,16.81505,16.718712,1.227585,0.623892,1
758879801451545185,290.34605878,38.69099813,2.961611E-3,1,1.576492E-3,0,20.159191,18.229185,17.899172,17.449619,17.432922,1.370296,0.715385,1
758879801451545165,290.34677788,38.69094855,0.16289,1,0.211924,0,18.794386,17.504925,17.015228,16.886234,16.703865,1.723011,0.863592,1
758879800914609266,289.99404595,38.35133365,4.688608E-4,0,1.713301E-4,0,20.077511,18.640329,17.972029,17.939423,17.739067,1.506197,0.750948,1
758879800914609265,289.99446221,38.3517584,9.498396E-5,1,9.300626E-4,0,22.331888,19.961658,18.971495,18.537228,18.381149,1.583076,0.774003,1
758887367032177541,85.53276941,0.93075248,0.036117,1,0.102366,0,19.418421,17.939531,17.416931,17.203352,17.108677,1.471326,0.747467,1
587739844323770547,249.3621584,10.83329913,0.063209,1,0.060802,0.476527,18.179569,17.923075,17.92289,17.812534,17.709066,1.354623,0.680941,1
758879746151154474,283.21235853,41.28225333,2.842919E-5,1,1.450134E-3,0,18.488211,18.367895,18.01549,17.925583,17.931839,1.155111,0.592509,1
758884804011557374,102.70435509,28.26193767,0.068021,0.942854,0.08086,0,19.375731,18.068489,17.55131,17.37623,17.269436,1.612023,0.809285,1
758884820115521904,99.91421342,26.45215187,0.024741,1,0.030758,0,19.50119,17.480005,16.659464,16.343182,16.185532,1.127288,0.563379,1
