source_id, ra, dec
4583841784106189824 267.773135 26.984240
502520455059813120 75.461747 73.997897
515805957141126912 41.348750 64.389375
501877584354433024 66.719379 73.371801
5717251046137167872 114.965244 -17.798915
5008166788964165632 22.933137 -40.615028
509534067941835136 25.903167 59.850137
1539747944575518976 182.241711 45.676506
4536107002188395520 278.993230 25.112613
2118376384055022848 276.331153 46.309248
5291378135056623616 122.554809 -59.241559
483741071335655552 75.814416 67.723320
1007583320300459520 97.141931 64.154852
5929962149023885312 251.542803 -53.949236
2892502526436570112 94.681170 -33.276903
482998282512018304 76.850871 67.523787
503000804200917760 81.653533 74.765290
5505302725127882752 108.792272 -49.852387
2973279728718524416 74.037182 -21.985944
509657350684704768 26.996814 60.433309
508156379873715456 27.138260 60.467265
1408551880688286976 252.482039 47.445187
763335402123160576 166.113808 38.208833
2950336391383604224 98.616849 -15.095297
467871510777063168 45.476635 64.291140
1521070300036162304 192.701362 39.860961
496251933112401024 72.469669 69.013850
508811929320007040 31.319366 62.637858
4843415107664454656 57.923745 -40.466464
6496142471902717952 354.805076 -55.397455
495012160733955072 61.606157 70.738698
6069384243520799744 206.589039 -51.347185
516120967223884928 40.168726 65.422754
1313552564219394560 255.629426 32.788790
2926659336193835008 99.571331 -21.702300
467546978749381376 41.595614 63.185615
1088996280821113472 113.444145 63.599464
467739294505550080 43.065477 64.449764
1102738492541909376 103.312308 67.279535
279675046114465024 77.053565 56.490538
5049009866364209152 42.730591 -36.276609
491248708532721664 48.121234 64.709345
3099394056026377728 101.686773 -7.336593
513952833377417088 35.212792 63.083461
2926301616956979200 99.634273 -22.546513
468036746759264000 45.882437 64.977090
2943120876387038208 95.472014 -19.230139
5779460245798330368 231.794810 -78.474029
508064123973713920 28.495024 59.804304
1276808878484600320 231.119472 30.543751
3025216259968543744 91.877815 -1.682513
4792122374833090560 88.002324 -53.212073
2928752943776304640 104.617614 -22.506195
514139681632125952 38.361620 63.167053
448836628038787328 55.980991 57.085777
4951072001992166400 35.400314 -40.776561
508600685649932544 32.170100 62.264705
2975142095258671616 75.501404 -20.036802
509946316085881344 24.490623 61.126624
2302897043902205440 281.707119 84.418136
498831112512037120 77.465085 71.592104
515440678765036416 33.452020 65.010643
2953043801328449024 101.442635 -12.058551
3061987433496774144 111.995816 -1.628155
1595880349635804160 230.485342 52.044055
515427209747855488 34.191927 64.898402
474065162855858944 56.272992 59.809472
2085681649895784448 298.530636 47.332951
508479017816611456 31.069317 61.790474
5062489191727549440 39.243363 -33.876727
549874428003118592 62.610343 74.295677
467750736299381120 42.155959 64.105763
1858105076783603456 311.017732 28.552612
507780793570930048 33.150218 61.928885
2899408490251940864 94.560753 -27.447635
3324910453590177280 93.943956 6.866831
3103060205748803584 98.267322 -6.650053
1995170814769232640 345.996753 51.838495
1107778241527240832 92.028133 71.533048
467950057140270336 45.014311 64.796258
4965245737665633280 36.619962 -38.213427
468043893584747648 45.388591 64.971721
3104218644326951936 97.046463 -5.176342
516484527611581184 44.086185 66.882712
490643393017694464 61.154573 67.767856
3026310892513179136 89.936394 -0.699343
3326320920849828352 97.489740 8.749864
518512370652426496 32.168579 65.362469
533290803362711808 20.243170 70.630936
516263285257171072 43.256960 65.526047
1203704618098140672 237.968621 19.184449
919753712997756672 119.500218 39.341388
3206619220237161472 78.974912 -8.993167
467649684311957248 41.458879 63.841492
467915388163477888 44.408166 64.462877
541842461202382848 40.555023 68.882050
480982190502848384 82.825827 66.428683
4090481158628781056 274.066035 -22.567647
141534947820100864 42.215320 37.165902
466433796245341440 43.874456 61.736665
244296885104243456 59.210600 46.183790
5303752245089633280 138.365979 -57.331000
469873618375715456 57.650653 57.428032
3412239302063817728 75.307209 22.046501
1907618799788305408 337.126127 37.262515
3315498359177537536 90.627404 1.904968
2954044528709783040 101.577925 -10.528517
467912364506512000 44.460383 64.425885
6811029820274130944 325.292697 -26.763962
491294063387828608 49.073677 65.330893
519452315657322624 23.089044 66.900962
422439759039876352 2.780231 57.507366
650850517879506816 126.345188 12.544389
2950091990563946496 98.482319 -15.733852
484376898294668544 82.220868 68.076151
3042733679224547328 117.987180 -7.445211
5850701727380527104 207.093985 -66.948064
517145265383047936 34.438753 66.269054
484709569281663872 84.947111 68.216931
495039377944993792 61.901203 71.145414
1569757430828948736 193.299669 53.019927
474442329702959104 56.758179 60.899813
2935015693288408576 107.123128 -17.103372
468198718565784192 43.633704 64.983858
1483677387045139200 210.035585 36.810223
518302089058268288 27.671307 65.002401
243341409498234880 57.139896 42.870577
480592134455623296 86.482855 66.640391
124894492168742656 52.248015 33.609609
4983428498893870080 19.716606 -43.458072
1326101290427211776 246.530178 33.987571
2929232124685645312 107.893488 -20.671390
1049985092871290624 150.260627 59.737327
5392438062695693312 158.713005 -41.056454
538248638728858240 14.224747 73.356327
4015522743604478976 187.104025 31.477119
511746521550370432 27.898174 62.400623
5823428852505762816 232.357220 -67.415882
409534138228619648 25.805811 56.243180
1541783003159655424 187.370725 45.227406
551207925151887104 63.426448 75.992615
1794744928942904832 329.197761 22.713854
475549675349102848 63.043897 62.580004
510050563529124480 20.965102 59.153452
514102190854689152 37.094999 63.095782
480924088185462016 81.977786 66.132034
2964747140531264512 83.553186 -21.825216
3222389859109742592 84.862938 0.718461
1292126587286974208 228.679451 36.847321
3103961221167657472 99.038066 -4.365672
2791050863417322496 18.024270 22.744107
6062392934455868416 199.963352 -57.845925
2917438311986490880 88.918159 -22.020600
1954143534807451648 327.017009 39.642530
6380345274519343104 356.240394 -72.051312
5622952977564743680 138.771791 -36.906650
276669118764716032 65.822170 56.236522
5817183458963391488 258.557071 -63.524544
3061376070673629696 111.189235 -3.060676
1140804031772213504 96.804699 78.663711
3119509346377257472 100.873117 0.086498
3099555168838886912 102.001423 -6.612252
4925536359833140224 10.640243 -51.815694
1212143404198200576 229.221785 19.013399
5431099227993405440 140.360723 -37.276784
4859882012277107712 53.033888 -36.582799
974414524823894400 108.562850 45.698861
6068405235793897472 198.747366 -52.724891
519089648619007872 26.651655 65.695881
5779528686099382272 228.575046 -78.817182
5247968110323044352 139.224655 -66.911126
1479422655002860032 213.513128 35.386493
1803066685791351296 301.985296 12.588194
3029021566640154624 114.912898 -15.502427
521684083740642816 27.081658 69.625973
1476786610234840320 203.202991 39.965587
1003530520440062208 99.861496 60.201981
468018467377810560 46.774319 65.090531
1138412456542469248 117.712519 77.850433
1924428717668680192 350.966982 42.182932
479274442786660352 78.885031 65.070982
450193631542626944 52.945507 59.216664
514326083213491840 35.751871 63.177348
263125643768604928 81.725166 52.916526
515334472812467968 34.543509 65.036156
1526032224213196288 198.230026 42.275605
1274009624959252992 233.564234 30.576506
4996101366834933760 1.609662 -40.855556
3322365595270426624 90.883426 7.465252
392483702174110976 5.353031 47.521659
4743361404962562048 35.581059 -53.544254
3003656791156167680 98.071885 -8.553670
4740605719585561600 43.167105 -55.642230
6873414254612385792 303.990495 -17.061268
2914195787773871104 86.241670 -25.917990
514768361767931392 32.900755 63.438876
5346974322059915264 167.149526 -55.301943
6453941119685849088 308.821148 -62.617212
268253319323779968 82.743426 55.426690
3330995872494627840 96.899447 11.095730
1479995672359790848 217.991453 34.280608
2138244318652024832 295.300937 53.926301
1143104450616267264 93.806280 81.146281
357257583002219776 26.924693 48.398093
2937930326810725376 94.555357 -21.679931
2984592638216443904 82.231229 -14.252692
467913154780530304 44.304215 64.360351
4841167396659800064 63.810269 -40.394754
3227012755749770240 76.948739 -1.291001
2998569080272752128 88.122893 -12.258958
511524665024238592 24.465517 61.987506
268632272878316672 86.928200 56.956260
287813115786804096 87.601353 64.356070
3119477151302631424 100.626914 -0.095319
508677170426058368 30.381648 62.044706
518185128508860672 29.965629 65.400052
2839062550473763840 348.732886 22.722997
834194013091047808 159.839366 48.799939
496013437870006016 73.248509 68.618051
2964190822009421824 86.724075 -21.653489
512108265180129792 25.344093 63.763236
514329794065104896 35.582772 63.234530
423760852318421760 13.628571 55.905387
3342990444840894464 89.479167 11.899014
4676365962459227136 61.903472 -62.763657
5824413332056266752 227.749131 -66.748144
517587578291229824 39.337888 68.025610
450076121240766464 54.668472 59.555614
6077521733377163264 186.308079 -52.074056
4983579441224352768 18.645798 -43.219989
196278944573011968 84.550404 43.408041
512273810400006912 26.310590 64.630667
532962118104722944 13.470062 69.848184
4535260511372852224 278.495337 23.177526
512031952199530112 26.517453 63.230413
516924847662042624 36.473318 66.233438
1618284032923073792 216.734104 60.430782
517799028121583232 38.373478 68.432454
5391162732286979072 160.139481 -43.624446
543833676760015872 47.816367 71.341155
248753927285488768 55.955736 48.588871
3132215474547315712 97.958718 6.734876
461595837705693952 45.494434 60.095875
473751355365188480 59.614014 60.210800
496550725396800768 66.607047 68.436693
260897895774499712 74.649336 52.979890
3317842002572496384 93.017272 4.899485
467702529584765824 42.359915 64.053976
513957265783796480 34.802003 62.996202
5092712017594712064 63.947696 -19.165981
517510062721832576 40.374161 67.465757
491100824216748800 52.175333 65.174139
473822342585792896 59.394702 60.641698
5625624619021600768 134.025627 -36.195910
3049908611072264704 104.708640 -9.244413
2917854240918826496 89.786218 -21.356094
512117404871705984 26.393527 63.654527
3006947973057196032 97.229526 -7.197633
1100841663185342080 103.974991 65.465842
5008248182887995392 22.821135 -39.941816
497523655748460032 73.758147 71.360171
1293747645383909376 220.323230 34.848170
245243736413932416 56.242950 46.544428
467932357575427840 45.324287 64.589363
4915401783202386944 18.661043 -53.311691
3002560479282443264 99.426703 -9.439562
491030588614022272 50.153830 64.822903
5708082905858969600 126.371243 -18.128950
473108931336558592 58.216222 58.848955
5394350903689434112 162.140948 -39.043901
486694943685309952 52.902552 61.654048
139174811751164928 47.745541 36.785991
514141124741064064 38.932924 63.154184
437078210168235776 42.066472 46.417006
508452801336534144 31.186708 61.367124
466837420091835648 49.208241 63.032321
468902096772340992 60.664777 56.997033
1632076959617431552 255.252581 64.202533
4525950229169981952 277.710215 21.010522
3019974269562551296 92.237560 -6.137749
272411775382418688 66.605270 53.544203
4304007313119177216 300.212740 12.298136
2937706507473824768 94.350091 -22.056263
5223989101749376000 132.407321 -67.872113
492046782173157248 47.681338 65.492425
491123226765953280 50.631297 64.933009
2958753427770195968 81.684570 -22.851141
514799354252797440 33.763459 63.913891
461311686966505856 46.434652 59.185670
448918232419614592 56.310209 57.480273
2928527269014973952 105.836351 -22.646550
3220166023828765696 81.116125 -1.739578
467926314561272960 45.407188 64.438914
3012140936409277440 84.745543 -9.703853
510144949733610880 20.709770 59.910337
507973654782193536 31.060474 60.533690
3544079198729435136 176.418606 -18.454156
2927603232574915584 107.769282 -22.879056
506971862251791616 31.761666 58.597905
477527181370785920 73.840120 61.348192
491067731490060672 51.601862 64.874761
2890998291450369024 90.809341 -31.179016
2937313672586388480 96.479052 -21.618959
413600853781389696 17.086312 57.740580
508458195815426176 31.376373 61.402140
3008008662476598272 96.140001 -6.148174
3006891867901798400 98.110994 -7.438708
465805356633689728 40.806302 62.246697
484818420932345216 86.694216 69.093948
3117738411100020224 94.427025 -2.633455
440489067040545792 44.333638 51.724343
3209270486368628736 81.597190 -5.481998
5825532119498779648 235.659102 -65.324701
4591124261934686720 273.396678 31.738228
514887899294645248 31.655736 63.777824
2049553106558596096 288.997927 34.720743
1255920390938359808 215.281499 25.639181
2935051393057545216 107.496544 -16.762634
5588708241236333568 114.399639 -34.622178
2911221059064729088 90.997157 -25.829567
467731353105459712 42.682841 64.281846
448990559664109568 54.870632 57.186070
467906523351090688 44.105285 64.256312
3082254903129355776 117.814567 -1.599527
2930098333693042176 109.472658 -20.086126
2961745473787353088 80.561446 -22.464394
5601200480048727040 118.680529 -26.899324
397348491370367744 22.778362 45.744989
3321807047658950144 89.396187 6.328854
461589210576379392 44.916133 59.890020
1063589247162736640 149.299096 63.169509
499298885988997376 79.517250 73.363377
3234275201849308672 79.924033 2.057679
518558069105108352 30.985577 65.655284
3118018030651389952 93.650563 -2.079344
1869648918081595392 313.142830 35.000785
353559238202873472 35.889069 45.424067
3416165005251235840 82.617978 23.301315
549677993378496896 62.436669 73.975559
3343554902324536320 90.830754 13.197607
1050386071018825472 151.840764 61.261497
4813395416569394176 75.259272 -41.962750
516023179408779904 38.026602 64.818605
4743213791230167040 34.167018 -54.389495
3139886595374130688 110.416895 4.680614
519397958550859392 23.180796 66.308295
4988203433078450176 17.446801 -39.559017
351181509948436480 26.421040 47.227746
3323659862192352256 95.682935 4.906609
5510016915591661568 107.257841 -46.374476
426652636616631168 14.520221 61.042488
3116638830754437120 96.376059 -3.987754
517396400708942848 40.198669 67.100286
530527936798526464 3.813024 69.301052
2899892550246346752 95.591932 -26.095733
2909359517158934528 89.951564 -29.423134
481981195599306496 69.720252 64.304003
350574304651894272 24.333301 45.622240
341202239335418112 37.839382 44.149686
278451805071655040 65.931222 57.184429
461967305133900928 48.660038 59.108407
467711458815217280 42.837371 64.002180
4917226010431910912 21.937781 -50.619003
467338316360629888 41.694735 62.656180
3106441581961689088 99.620962 -3.021894
4967333156194910208 36.612650 -34.044062
4572040347846901760 256.989639 24.538657
554702280481181696 65.846425 78.284725
1645454575857800192 226.680666 67.153446
474918246439704832 58.795268 62.259736
514275471317102976 36.223511 63.070553
5820331773081390080 234.227162 -68.185412
509703633253693696 24.917757 60.423570
3421474409462889472 80.093152 27.450941
509580968988119808 24.920169 59.867525
1135362857964243584 118.138545 74.467689
2927417342081849344 106.559362 -24.069175
881602755458418432 116.423632 31.715726
2937874251716433920 93.549817 -21.729871
520504273402746880 32.027050 68.000576
2950722423044695040 99.069867 -14.807463
5430050701916809216 141.572888 -38.335697
549028972279795456 48.448044 76.471499
3021727337775894016 91.447007 -3.616007
457203258693482496 37.055616 55.268150
511681551588473472 24.959555 62.934725
3329473151967921152 92.741912 9.555351
467891508145452672 44.713350 64.112496
3117565306739042304 96.488438 -1.872752
1543216869403893760 192.272835 47.973752
2983576758191635456 78.598898 -15.104113
513255227607224448 22.091912 65.337979
491236648263801728 49.621391 65.028764
520459120407800832 32.287689 67.561281
6427521951215347712 299.907130 -66.636058
518900734474191104 30.764602 66.566546
4579448955978868736 270.739746 25.020058
473779495991510144 60.068249 60.511082
3330488413518686208 95.169446 10.062524
492093339619926016 46.852464 65.460395
6561450228480798720 330.899398 -46.213279
518926508576226176 30.764960 66.934888
465722171705657088 41.314513 61.627134
491145766754102272 51.672238 65.218211
6135858418724820992 196.908266 -42.994163
4138518787227014656 262.314435 -12.847436
251043557171246848 61.108775 52.214451
4960509041573463040 24.222051 -40.431729
3324852076395055104 94.504522 6.809696
515260839892058880 35.643842 64.543664
242147546027508096 49.073232 44.176136
6381035733462105088 346.422205 -71.053099
436713103591521408 48.208098 49.831370
2928790842568620032 105.091570 -22.075172
1938404987926802432 352.699412 46.252332
511924887255820288 29.390142 63.578794
2926290518761655808 99.424125 -22.775526
3111023349994299392 108.827888 -0.307393
