source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
3907707412228188800,187.52631979081767,0.9250473843404254,12.399886952647025,0.9027773758132108,-1.1206519883785417,3.0942887804980703,-4.740310146667137,2.5803996934121924,1.9141565287397155,1.1957021125445346,20.55073,0.80327034,,,NOT_AVAILABLE,,
3907697791502446336,187.89668812162384,1.111579543819022,12.389951250614331,0.6912057659831097,-22.513506526001088,2.5538203682254834,-0.3560517515951621,1.2839875121019584,0.005064588696165249,1.331521687072834,20.543251,1.980547,,,NOT_AVAILABLE,,
3907706072198391936,187.47516459957504,0.09502671273888652,12.39869929011111,0.07364244801316491,-19.103935507887794,0.2533496177201807,-0.47613141884400784,0.17100682580898582,0.7452906553055515,0.11872107970902496,17.23279,1.4858112,,,NOT_AVAILABLE,,
3907712811002613248,187.6531962116048,19.285896155210565,12.434828150325918,10.375057879124554,,,,,,,21.163977,,,,NOT_AVAILABLE,,
3907692671900368384,187.89477411688327,0.2550942402675729,12.288525500295417,0.16923087704694695,0.045679638678332746,0.5803491646085063,-10.099391038093806,0.33768374700967285,0.49488897555246686,0.3039471897925271,18.634222,0.74899864,,,NOT_AVAILABLE,,
3907689583819540352,187.77966318013708,0.3468033244779214,12.281300653050058,0.2556928349248466,-6.721433501763798,0.6204142387811183,-6.826813175262216,0.7467223027249011,0.42728750905829854,0.4649196158567204,18.498468,1.1040974,,,NOT_AVAILABLE,,
3907708893991776128,187.78733718433222,0.49594940274435484,12.383024355778971,0.36312360162970153,-2.156486957994684,1.2792909724904766,-3.842750376914404,0.666067823692377,1.3100860566610597,0.5641286178020452,19.696539,2.4782982,,,NOT_AVAILABLE,,
3907709993504135296,187.73704518981035,0.031204779079887585,12.423916248279776,0.026336440364044304,-25.178092005932786,0.07349489111373764,-8.33744978048661,0.04856871584900601,1.2489961284788345,0.03810941806077326,14.553726,0.9620199,,,NOT_AVAILABLE,5377.0,0.1505
3907703568233137024,187.66029020504308,3.4788908113934642,12.366401840247017,2.657459903002502,,,,,,,20.982443,1.4334412,,,NOT_AVAILABLE,,
3907689308941633024,187.79700583268425,0.06758748100664687,12.264414453266475,0.05298952656669568,-8.825753521328705,0.1558310253249178,-43.01362574423832,0.10280577247770002,2.77290294001699,0.0813135256826303,16.435091,2.2561083,,,NOT_AVAILABLE,3700.4102,
3907708992776151808,187.80183700994775,2.6393297904565847,12.393231545438681,1.5705665801662563,,,,,,,20.720215,1.2013264,,,NOT_AVAILABLE,,
3907711986368963712,187.75190877981365,0.06415513621402899,12.497086031035856,0.05310155460159881,-25.15135866715032,0.16414295468147344,-38.261395514977515,0.09943966310056578,7.163222055730698,0.07612135945839804,15.93793,2.4409285,,,NOT_AVAILABLE,3735.3167,0.109
3907712020728702208,187.77921608314804,0.5907741862907598,12.487825631522588,0.46693148505499876,-11.47097624913829,1.5150103501638221,3.7047513252924085,0.838789912485019,0.7844855588479317,0.6817609664787313,19.962019,1.9009075,,,NOT_AVAILABLE,,
3907712089448179328,187.76520556879203,0.14509066012462196,12.49974341857307,0.12185291006477535,3.735996774080776,0.36434521289862687,-43.27060592036688,0.21945293742242988,0.7448568760143794,0.17303408754498617,17.831242,1.7371769,,,NOT_AVAILABLE,,
3907709375028117504,187.7791624061694,0.5637601908869897,12.429285069468904,0.4671159445584249,3.2304388695145683,1.1422232991471424,1.4099249157705256,0.8064456234380589,1.1463518877678962,0.6451552119387586,19.944115,1.9518375,,,NOT_AVAILABLE,,
3907710577618960896,187.80574238963536,8.212458277749754,12.427093100955522,3.703986331888772,,,,,,,20.110107,0.98884964,,,NOT_AVAILABLE,,
3907692706260105984,187.8806495785136,0.16097331012145627,12.287219778414268,0.11837495614047161,-7.69919925970727,0.3624355739761777,-10.96912690711423,0.23229788382049932,0.20201516030008132,0.18989139041057462,17.96325,0.8332863,,,NOT_AVAILABLE,,
3907687556594989440,187.62362426978868,0.04292414512538924,12.168127761507815,0.033421374032067276,14.285036082476456,0.10241265173754437,-41.46813802728076,0.0662176846743931,4.802435635987434,0.052722996768454426,15.140666,2.0898018,,,NOT_AVAILABLE,3650.0,0.2735
3907708924056674432,187.76069912431166,4.5374222853700426,12.390793664461098,2.3903211364366252,,,,,,,20.97324,0.70705223,,,NOT_AVAILABLE,,
3907689751323131904,187.71607028175697,0.574800668563194,12.239274006334893,0.4699865299924093,-25.19993932099831,1.499046687214137,-0.6355274898075,0.8595190002728135,2.7940325120401295,0.6880308174896499,19.880672,1.9758015,,,NOT_AVAILABLE,,
3907703735736176384,187.6313808944198,1.189210781533768,12.379232401619234,1.1136795822021242,2.850923309533168,3.1491846051840646,-1.4657713769334957,2.0362879517710044,1.2645692672731803,1.477852319952692,20.15592,1.0821743,,,NOT_AVAILABLE,,
3907683983182199424,187.72423927447983,0.14641428970681936,12.148652511453893,0.11548409631264217,5.5562517639882945,0.366022922085119,-21.261774598405307,0.22589102439481482,0.44675021912114066,0.1796173680891528,17.860556,0.9494343,,,NOT_AVAILABLE,,
3907707309148971392,187.51151056766878,0.19443730220336183,12.393628906117113,0.13977102622429757,-16.839041561177652,0.5950539918170153,-40.279399335156214,0.3206346628189345,2.302429257027105,0.24194815397580074,18.143978,2.676443,,,NOT_AVAILABLE,,
3907712226886740864,187.81289637787222,1.959645086773497,12.49409706893395,1.5132382248886234,,,,,,,20.671213,0.8378124,,,NOT_AVAILABLE,,
3907690511532489984,187.69343380924605,1.36388212181231,12.289704891379854,1.1975839141667006,-4.736873542050795,3.523654875128962,-2.085639753925733,2.2333725927712837,1.5466262141441882,1.6731353058230256,20.185312,1.0129032,,,NOT_AVAILABLE,,
3907705969120528000,187.4760795923883,1.0122263003169039,12.381364573158233,0.7234656071495288,12.302065877026159,3.31155429937794,-23.794181458303896,1.5160877959141559,1.9731961196943395,1.3244003372625834,20.7379,2.0404758,,,NOT_AVAILABLE,,
3907709856064859392,187.71004561420474,18.49744050041991,12.424804599446036,14.026339501988307,,,,,,,20.94972,,,,NOT_AVAILABLE,,
