source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
3931956935020230528,187.73173872724843,0.30594874846635295,13.108633251106728,0.2140491379963289,-1.564355437792722,0.630162511967654,-1.7201134292191997,0.38930656369790145,-0.9417491497057169,0.38231507163926753,18.930857,0.87249756,,,NOT_AVAILABLE,,
3931956316544939008,187.5910394388306,0.1588960084199806,13.108448323900223,0.11927639003583225,22.074095157213197,0.372405670338136,-31.45942174645142,0.21876549554667882,0.09765769078129763,0.20164354970037054,17.17975,2.0493946,,,NOT_AVAILABLE,,
3931937319905080832,187.84997641794487,0.08535969746103167,12.899984263517178,0.06303911136337184,6.862669258858916,0.2003585589993713,-4.670118352288395,0.12392313946172143,0.7090674000369377,0.10402895816117372,17.059275,1.6530552,,,NOT_AVAILABLE,4211.0,1.565
3931943878319576064,187.66548356546113,0.308747211977558,12.89124382491463,0.2326599786836183,-7.106329760123654,0.6779644486330546,-3.0443541773017073,0.4237230597580234,-0.5358548471021387,0.38199077875041704,19.148651,0.83273697,,,NOT_AVAILABLE,,
3931955526270956672,187.70692393483313,0.5264162375672922,13.107697421867638,0.3780037227730451,-3.062577225772914,1.1855708821877569,-4.333917397995081,0.6723650028759358,0.7367311525750794,0.6461870378447907,19.818733,0.67089844,,,NOT_AVAILABLE,,
3931943843959838464,187.63980993656418,0.8080475979714671,12.895220911647273,0.720145261645845,-1.5804573060443317,1.76621143967058,-5.87596618322525,1.1780971903409172,0.44296854817090514,1.012543614177312,20.394,0.57221603,,,NOT_AVAILABLE,,
3931996689237786496,187.50195982177613,0.9462789319858003,13.051448942124468,0.854446576348949,-7.91384633991083,2.2448546071618063,-3.030042530758683,1.4945017396636133,-0.40746454802891896,1.2484996713610452,20.499805,1.1672974,,,NOT_AVAILABLE,,
3931931577533237888,187.76890271004982,1.5862959607667502,12.882247363946693,1.3300416223149474,3.2080832021630816,3.5173940755194866,-0.7712811944568722,2.2646300992787207,-0.604141304308525,1.8471278447168074,20.470999,1.0568848,,,NOT_AVAILABLE,,
3931932024209835136,187.66357721473543,0.3233223560899523,12.87555368994231,0.25820533150264147,-4.390152499066442,0.7129695065278906,-3.0847472881318505,0.4513046756389679,-0.4847363538716278,0.3833125847462594,19.119389,0.56956863,,,NOT_AVAILABLE,,
3931931474454021120,187.76040578017736,0.1867651084062307,12.874664643180415,0.1378308828612074,-8.07531548203077,0.3877742668604218,2.377364721801482,0.2676827209427376,0.9978495628565156,0.23507201197576078,18.174635,1.8816872,,,NOT_AVAILABLE,,
3931946219077375488,187.4459963276792,5.966406787917755,12.889822472153611,4.077472414838905,,,,,,,20.725851,1.753685,,,NOT_AVAILABLE,,
3931952708772801152,187.85367940357855,0.9036754004482999,13.056610933504125,0.5168833649035277,-3.288309397102782,2.2120209997888765,-6.120422672199855,1.0096499846174058,2.3519782623094874,0.9286806945177867,20.479267,2.1128063,,,NOT_AVAILABLE,,
3931943912679316736,187.6821391063385,0.2581779187368557,12.900909498871894,0.1869798299628991,-13.829744348324112,0.5486254716566012,0.399476999272043,0.3355471570124716,1.1822377812764815,0.3234584442312519,18.777739,2.0779438,,,NOT_AVAILABLE,,
3931938999240700800,187.83561934473119,3.347306334950267,12.974276802387434,1.4148123548156954,,,,,,,21.108316,,,,NOT_AVAILABLE,,
3931925873816588032,187.70896794926077,1.715656572229772,12.73937789923865,0.9458567853303875,-1.6100329015754848,3.4959343763613338,-1.9662493211672094,1.569597713265094,-1.9552187516595,1.7154274083433907,20.678904,0.9402561,,,NOT_AVAILABLE,,
