source_id, ra, dec
F2 187.668900 12.403310
S804 187.712770 12.436630
S1709 187.591596 12.431617
SC90 187.431092 12.810928
SC150 187.150625 12.760655
SC375 187.257358 12.394356
H55196 187.616329 12.492294
S1382 187.652408 12.388156
R8922 187.362729 12.848431
SC210 187.504963 12.218988
H35467 187.902029 12.314706
S1173 187.676890 12.373300
M87UCD-23 187.423146 12.740993
SC321 186.966979 12.593808
M87UCD-8 187.438575 12.850251
R13992 187.339760 12.974690
SC343 187.115479 12.092937
SC238 187.196588 12.825334
S141 187.796400 12.382055
SC416 187.570496 12.763511
S59 187.811920 12.398090
III-196 187.654720 12.496250
H38699 187.386888 12.344486
SC405 186.997304 12.735470
SC89 187.000696 12.658883
S941 187.696425 12.460889
S766 187.714963 12.501650
SC37 186.856200 12.041577
H48721 187.638933 12.427689
M87UCD-18 187.853138 12.423833
S1293 187.661521 12.470522
S963 187.692204 12.504297
S1205 187.671475 12.502980
S571 187.738267 12.388744
H39973 187.650633 12.356014
S7005 187.579830 12.271000
SC3 187.627758 12.524116
SC360 187.667083 12.353028
SC280 186.693392 12.078061
SC435 187.099313 12.531080
H31134 187.727350 12.270914
H45835 187.879717 12.403274
GC011 186.069489 11.683906
S1116 187.680450 12.411670
S280 187.776663 12.334864
SC428 187.038304 12.822425
S518 187.740380 12.485050
S1074 187.688554 12.277764
SC200 187.413313 12.354022
S177 187.792654 12.289041
SC267 187.930600 12.406175
SC230 187.109583 12.629630
H46010 187.678271 12.404575
S663 187.729020 12.344540
SC186 186.872250 12.118745
SC310 186.993308 12.000453
H28415 187.783429 12.241650
S5002 187.709720 12.381570
H56476 187.611338 12.505016
S811 187.713720 12.362780
S910 187.699360 12.437730
SC243 187.846071 12.507347
UCD24 186.845322 12.549759
S1109 187.680720 12.421430
SC309 187.318654 12.752380
S1301 187.663163 12.359006
S1113 187.680960 12.403220
S7019 187.687510 12.410080
H27821 187.888071 12.235000
SC74 187.039992 12.436017
H41038 187.777392 12.364536
H73737 187.618933 12.719536
SC96 186.669492 11.819721
S1103 187.681490 12.419710
SC196 187.002213 12.397695
SC53 187.051379 12.338673
H25416 187.240333 12.208503
M87UCD-24 187.294446 12.717814
S1015 187.689460 12.421980
SC476 187.021008 12.481825
H27136 187.747638 12.227716
R8193 187.381483 12.831375
GC171 187.282775 12.532008
S801 187.712050 12.486820
H25532 187.726950 12.210058
S547 187.739100 12.429030
SC189 187.192642 12.753356
H66395 187.610450 12.616853
S1351 187.659646 12.289066
H66451 187.374200 12.617753
H64482 187.311700 12.593625
M87UCD-13 187.705350 12.621714
UCD32 187.209221 13.036144
SC301 187.707921 12.586273
GC068 186.334915 12.299229
S1481 187.636000 12.398303
SC336 187.312946 12.700222
H26098 187.805488 12.216269
SC414 187.165892 13.050653
S1158 187.678113 12.385025
S1032 187.688480 12.407090
S285 187.775088 12.366756
F9 187.739467 12.527638
SC387 187.548679 12.362728
SC184 187.818450 12.535056
H34538 187.837871 12.306064
GC151 186.977844 12.226041
S1309 187.661430 12.397100
S1264 187.667080 12.404850
H53056 187.591279 12.470272
SC15 187.568108 12.291616
SC329 187.264796 12.601045
S236 187.778760 12.480570
SC393 187.241608 12.527224
H55625 187.251679 12.496403
S1016 187.690890 12.359570
H23097 187.723158 12.183386
S8004B 187.689521 12.405217
S9052 187.706110 12.362480
SC60 187.303346 12.437933
H67769 187.592513 12.633256
S1200 187.674030 12.403660
GC050 186.264236 11.944633
H68168 187.717396 12.637328
SC32 186.592908 11.808376
SC421 187.447442 12.565650
S218 187.781240 12.487760
H58467 187.663063 12.526684
R8798 187.392375 12.845139
S1512 187.632500 12.344140
AC1 187.716167 12.408583
S7026 187.831840 12.384980
S746 187.719810 12.406350
SC134 187.426458 12.283086
S1091 187.682730 12.396450
R12313 187.290110 12.929630
S782 187.717520 12.330300
S1356 187.656760 12.372640
S1346 187.655910 12.471530
S8002 187.699783 12.329622
S1219 187.671517 12.427550
SC276 187.542200 12.706744
SC295 187.104304 12.316344
R12891 187.343446 12.943292
S1594 187.616329 12.389042
H30119 187.774010 12.259870
S7003 187.572670 12.372640
GC140 186.761829 11.957192
S87 187.808830 12.282110
R12657 187.346240 12.937540
SC117 186.938525 12.557542
S1291 187.665660 12.318640
S490 187.747350 12.356419
S5028 187.717100 12.403090
GC076 186.397217 12.209917
GC168 187.248535 12.431252
VUCD7 187.970400 12.266410
H37433 187.756921 12.334214
SC231 187.715938 12.089242
R7754 187.379560 12.821880
SC423 187.145263 12.999753
H58833 187.639046 12.530458
H34244 187.365133 12.302611
III-200 187.647030 12.480370
SC341 187.444596 12.116575
GC195 187.548725 12.524100
H52616 187.813267 12.465806
S720 187.722180 12.429880
H35804 187.913033 12.318036
SC298 187.298254 12.422483
SC356 187.399379 12.553608
S1409 187.647271 12.457809
S348 187.764110 12.385020
H29064 187.728454 12.249128
H48765 187.519413 12.428036
SC384 187.532900 12.275217
T14108 187.838458 12.375039
H26645 187.856471 12.222444
H50842 187.365233 12.447156
H41191 187.769092 12.365416
S417 187.756160 12.323510
S7018 187.653200 12.270150
H18992 187.271246 12.126169
S1165 187.676183 12.439016
SC67 187.150971 13.004820
S612 187.733417 12.397561
SC378 187.491904 12.384584
S950 187.697450 12.363320
SC22 186.811925 11.916097
S809 187.714920 12.324310
SC16 187.696838 12.263406
S1367 187.653221 12.434842
S270 187.779680 12.281310
S199 187.787350 12.383020
S1322 187.660317 12.366406
R11062 187.402320 12.899970
S107 187.801838 12.393222
SC209 186.829313 11.966795
SC372 187.401879 12.282094
S378 187.760713 12.390786
